Prefecture,Population,FoodProduction,ClothingProduction,FurnitureProduction
北海道,5382,1929,172,225
青森県,1308,405,140,37
岩手県,1280,492,186,44
宮城県,2334,647,138,57
秋田県,1023,370,321,48
山形県,1124,457,294,85
福島県,1914,508,343,92
茨城県,2917,812,179,90
栃木県,1974,460,267,140
群馬県,1973,503,348,141
埼玉県,7267,905,406,329
千葉県,6223,938,146,91
東京都,13515,834,530,293
神奈川県,9126,692,155,126
新潟県,2304,781,434,201
富山県,1066,363,169,78
石川県,1154,411,528,66
福井県,787,229,594,53
山梨県,835,196,125,38
長野県,2099,686,104,103
岐阜県,2032,520,613,258
静岡県,3700,1251,295,288
愛知県,7483,1290,1162,454
三重県,1816,511,148,73
滋賀県,1413,226,300,73
京都府,2610,514,811,131
大阪府,8839,915,1226,460
兵庫県,5535,1504,400,135
奈良県,1364,259,326,57
和歌山県,964,433,280,108
鳥取県,573,174,73,19
島根県,694,322,129,49
岡山県,1922,377,553,87
広島県,2844,624,383,188
山口県,1405,427,83,40
徳島県,756,307,144,99
香川県,976,480,163,74
愛媛県,1385,420,323,60
高知県,728,271,74,30
福岡県,5102,1016,287,366
佐賀県,833,310,87,55
長崎県,1377,698,126,37
熊本県,1786,547,146,58
大分県,1166,327,78,70
宮崎県,1104,415,112,60
鹿児島県,1648,756,101,57
沖縄県,1434,402,46,53
